CNES;EQUIPE;INE;Sigla da equipe
2051680;EAP CHICO MENDES;0002406926;eAP-30h
2059207;EAP PLANALTO;0002406934;eAP-30h
2053772;EAP SANTA ANTONIETA;0002406942;eAP-30h
2053780;EAP SAO JUDAS;0002406950;eAP-30h
2035189;USF AEROPORTO;0000338249;eSF
2061538;USF ALTANEIRA;0000338478;eSF
2043742;USF ANIZ BADRA;0000338281;eSF
7172842;USF ARGOLO FERRAO;0000338753;eSF
2059223;USF AVENCAS AMADEU AMARAL;0000338451;eSF
2025515;USF BANDEIRANTES;0002273276;eSF
4265211;USF BANDEIRANTES II;0002372479;eSF
6467695;USF CAMPO BELO;0000338710;eSF
2048787;USF CDHU;0000338346;eSF
2051672;USF COSTA E SILVA;0002273225;eSF
4265181;USF COSTA E SILVA II;0002372452;eSF
2716887;USF FIGUERINHA;0000338516;eSF
2716895;USF JANIO QUADROS;0000338524;eSF
5995299;USF JARDIM AMERICA IV;0000338702;eSF
2035782;USF JARDIM CAVALARI;0000338265;eSF
6703305;USF JARDIM FLAMINGO;0000338737;eSF
9999949;USF JARDIM MARACA;0001697749;eSF
4265262;USF JARDIM MARACA II;0002372487;eSF
3421910;USF JARDIM MARILIA;0000338680;eSF
6530516;USF JARDIM RENATA;0000338729;eSF
6977618;USF JARDIM TERUEL;0000338745;eSF
2035170;USF JK;0002273160;eSF
4265173;USF JK II;0002372444;eSF
2048779;USF JOQUEY CLUBE;0000338338;eSF
2048779;USF JOQUEY CLUBE;0001687913;eCR
2716909;USF JULIETA;0000338540;eSF
2053349;USF LACIO;0000338389;eSF
2716941;USF LILIANA;0000338583;eSF
2716941;USF LILIANA;0001696629;eSF
2716917;USF MARAJO;0000338559;eSF
3045439;USF NOVO HORIZONTE;0000338664;eSF
2053802;USF PADRE NOBREGA;0000338427;eSF
9171576;USF PADRE NOBREGA II;0001620096;eSF
2716925;USF PALMITAL;0000338567;eSF
2059215;USF PARQUE DAS NACOES;0000338443;eSF
2716933;USF PARQUE DOS IPES;0000338575;eSF
7549768;USF PRIMEIRO DE MAIO;0001548964;eSF
2035774;USF ROSALIA;0000338257;eSF
9100202;USF SANTA ANTONIETA III;0001614312;eSF
2716968;USF SANTA AUGUSTA;0000338591;eSF
2716976;USF SANTA PAULA;0000338605;eSF
4265165;USF SAO BENTO;0002371677;eSF
2043734;USF SAO MIGUEL;0002273241;eSF
4265203;USF SAO MIGUEL II;0002372460;eSF
2716984;USF TOFOLI;0000338613;eSF
3510700;USF TRES LAGOS;0000338699;eSF
9412891;USF VIDA NOVA MARACA;0001647830;eSF
2716992;USF VILA BARROS;0000338621;eSF
2717018;USF VILA HIPICA;0000338648;eSF
2717026;USF VILA NOVA;0000338656;eSF
2048795;USF VILA REAL HELENA BERNARDES AZALEIAS;0000338354;eSF
;SEM EQUIPE;;
